PERMNO,date,TICKER,COMNAM,CUSIP,PRC
84576,20121231,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,20.10000
84576,20130131,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,22.43000
84576,20130228,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,21.12000
84576,20130328,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,21.68000
84576,20130430,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,20.55000
84576,20130531,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,16.75000
84576,20130628,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,15.39000
84576,20130731,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,15.44000
84576,20130830,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,15.11000
84576,20130930,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,16.42000
84576,20131031,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,16.91000
84576,20131129,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,20.00000
84576,20131231,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,19.24000
84576,20140131,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,16.68000
84576,20140228,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,18.03000
84576,20140331,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,16.60000
84576,20140430,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,15.40000
84576,20140530,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,15.20000
84576,20140630,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,15.28000
84576,20140731,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,15.57000
84576,20140829,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,16.23000
84576,20140930,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,16.06000
84576,20141031,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,18.76000
84576,20141128,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,24.85000
84576,20141231,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,24.24000
84576,20150130,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,26.40000
84576,20150227,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,24.06000
84576,20150331,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,31.95000
84576,20150430,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,38.73000
84576,20150529,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,37.78000
84576,20150630,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,41.50000
84576,20150731,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,40.46000
84576,20150831,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,25.85000
84576,20150930,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,29.92000
84576,20151030,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,32.16000
84576,20151130,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,27.00000
84576,20151231,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,28.14000
84576,20160129,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,24.15000
84576,20160229,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,23.58000
84576,20160331,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,26.66000
84576,20160429,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,26.40000
84576,20160531,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,26.89000
84576,20160630,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,25.34000
84576,20160729,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,28.09000
84576,20160831,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,25.94000
84576,20160930,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,23.17000
84576,20161031,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,22.61000
84576,20161130,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,23.98000
84576,20161230,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,22.35000
84576,20170131,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,25.14760
84576,20170228,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,27.62000
84576,20170331,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,28.60000
84576,20170428,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,26.15000
84576,20170531,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,29.35000
84576,20170630,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,30.60000
84576,20170731,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,27.65000
84576,20170831,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,27.47000
84576,20170929,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,24.44000
84576,20171031,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,25.48000
84576,20171130,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,29.51000
84576,20171229,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,36.14000
84576,20180131,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,44.92000
84576,20180228,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,42.31000
84576,20180329,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,36.80000
84576,20180430,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,40.66000
84576,20180531,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,39.30000
84576,20180629,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,34.15000
84576,20180731,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,31.08000
84576,20180831,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,31.95000
